DCode,Name_G,Name_E,StateID
8,BAGHPAT,BAGHPAT,09
49,BAHRAICH,BAHRAICH,09
62,BALLIA,BALLIA,09
51,BALRAMPUR,BALRAMPUR,09
39,BANDA,BANDA,09
45,BARABANKI,BARABANKI,09
19,BAREILLY,BAREILLY,09
54,BASTI,BASTI,09
3,BIJNOR,BIJNOR,09
11,BULANDSHAHR,BULANDSHAHR,09
70,C S NAGAR,C S NAGAR,09
65,CHANDAULI,CHANDAULI,09
40,CHITRAKOOT,CHITRAKOOT,09
59,DEORIA,DEORIA,09
80,ETAH,ETAH,09
30,ETAWAH,ETAWAH,09
46,FAIZABAD,FAIZABAD,09
28,FARRUKHABAD,FARRUKHABAD,09
41,FATEHPUR,FATEHPUR,09
16,FIROZABAD,FIROZABAD,09
64,GAZIPUR,GAZIPUR,09
10,GB NAGAR,GB NAGAR,09
9,GHAIZABAD,GHAIZABAD,09
52,GONDA,GONDA,09
57,GORAKHPUR,GORAKHPUR,09
37,HAMIRPUR,HAMIRPUR,09
71,HAPUR,HAPUR,09
24,HARDOI,HARDOI,09
72,HATHRAS,HATHRAS,09
34,JALAUN,JALAUN,09
63,JAUNPUR,JAUNPUR,09
35,JHANSI,JHANSI,09
29,KANNAUJ,KANNAUJ,09
32,KANPUR DEHAT,KANPUR DEHAT,09
33,KANPUR NAGAR,KANPUR NAGAR,09
73,KASGANJ,KASGANJ,09
43,KAUSHAMBI,KAUSHAMBI,09
58,KUSHINAGAR,KUSHINAGAR,09
74,LAKHIMPUR KHERI,LAKHIMPUR KHERI,09
36,LALITPUR,LALITPUR,09
26,LUCKNOW,LUCKNOW,09
13,MAHARAJGANJ,MAHARAJGANJ,09
38,MAHOBA,MAHOBA,09
17,MAINPURI,MAINPURI,09
14,MATHURA,MATHURA,09
61,MAU,MAU,09
7,MEERUT,MEERUT,09
68,MIRZAPUR,MIRZAPUR,09
4,MORADABAD,MORADABAD,09
2,MUZAFFARNAGAR,MUZAFFARNAGAR,09
20,PILIBHIT,PILIBHIT,09
42,PRATAPGARH,PRATAPGARH,09
27,RAIBAREILLY,RAIBAREILLY,09
5,RAMPUR,RAMPUR,09
1,SAHARANPUR,SAHARANPUR,09
56,SAMBHAL,SAMBHAL,09
55,SANT KABIR NAGAR,SANT KABIR NAGAR,09
21,SHAHJANPUR,SHAHJANPUR,09
77,SHAMLI,SHAMLI,09
50,SHARAWASTI,SHARAWASTI,09
53,SIDDHARTH NAGAR,SIDDHARTH NAGAR,09
23,SITAPUR,SITAPUR,09
69,SONEBHADRA,SONEBHADRA,09
67,SRN BHADOHI,SRN BHADOHI,09
48,SULTANPUR,SULTANPUR,09
25,UNNAO,UNNAO,09
66,VARANASI,VARANASI,09
